4098	4992	1
4098	4483	1
4098	7171	1
4098	204	8
4098	5262	1
4098	70865	1
4098	20178	2
4098	4243	1
4098	4244	1
4098	41684	1
4098	2452	1
4098	5077	2
4098	6102	1
4098	470	2
4098	3867	3
4098	2396	5
4098	4831	1
4098	5089	1
4098	12008	1
4098	2474	1
4098	3626	1
4098	19116	1
4098	8182	1
4098	4023	1
4098	30328	1
4098	4473	1
4101	12851	1
4101	470	1
4101	19912	1
4101	13753	2
4101	14057	1
2054	3056	1
2054	19697	2
2054	1749	1
2054	2646	3
2054	3463	1
2054	3562	1
2054	4797	1
2054	206	1
4104	7250	1
4104	4995	1
4104	31780	1
4104	28981	1
4104	8873	1
4104	2396	3
2058	2690	1
2058	467	2
2058	455	1
2058	17401	1
2058	19689	1
2058	1017	1
2058	5018	1
2058	7547	1
2058	3627	1
2058	15404	1
2058	15935	1
2058	911	1
4106	2545	2
4106	1763	1
4106	52918	1
4106	53305	1
4106	2396	4
4106	204	1
4106	12014	1
4107	24321	1
4107	77442	1
4107	4995	2
4107	24326	2
4107	5000	3
4107	3083	1
4107	12556	1
4107	2451	2
4107	3475	2
4107	4886	1
4107	2714	1
4107	3867	2
4107	2589	1
4107	4894	1
4107	3999	1
4107	13472	1
4107	4002	1
4107	4003	1
4107	4771	3
4107	3492	1
4107	4773	1
4107	7333	1
4107	7975	1
4107	18983	4
4107	7977	1
4107	5162	1
4107	7339	7
4107	19116	1
4107	7980	1
4107	3502	1
4107	2479	1
4107	7216	1
4107	2482	10
4107	16690	6
4107	7219	1
4107	41144	1
4107	120255	42
4107	8129	1
4107	4292	1
4107	6084	1
4107	5188	2
4107	15175	1
4107	455	12
4107	458	2
4107	9036	1
4107	37581	1
4107	9038	1
4107	5070	1
4107	20047	1
4107	7250	1
4107	3675	1
4107	2396	1
4107	12901	1
4107	24297	1
4107	3693	1
4107	9712	1
4107	2545	1
4107	51317	4
4107	1142	9
4107	34295	1
4107	1016	3
4107	4601	2
4107	27770	1
4107	1018	1
4107	1019	3
4107	6910	3
2062	11186	3
2062	9671	1
4110	4451	1
4110	3064	1
4110	21370	1
4110	4010	1
4110	23387	1
4110	10220	1
4112	8112	1
4112	3633	1
4112	3073	1
4112	8209	1
4112	3074	1
4112	4757	2
4112	6086	1
4112	3624	1
4112	11242	1
4112	15565	1
2065	7553	2
2065	4740	1
2065	2436	1
2065	3973	1
2065	14089	1
2065	24332	1
2065	8210	1
2065	19604	2
2065	39701	4
2065	13719	1
2065	5273	1
2065	37402	1
2065	12187	2
2065	17948	1
2065	3998	1
2065	16671	1
2065	21664	1
2065	3105	1
2065	64034	2
2065	4771	2
2065	37412	1
2065	21672	1
2065	15404	1
2065	47788	1
2065	79148	3
2065	37037	1
2065	3633	1
2065	3892	1
2065	4021	1
2065	15929	1
2065	37439	1
2065	8767	1
2065	9667	1
2065	4932	1
2065	204	3
2065	9036	2
2065	19667	2
2065	3034	6
2065	4699	1
2065	2396	1
2065	5084	1
2065	1763	1
2065	13923	1
2065	19044	1
2065	13798	1
2065	3689	1
2065	19948	5
2065	3053	1
2065	85742	1
2065	19826	1
2065	1015	1
2065	4601	3
2065	17657	1
2065	1018	3
2065	4602	1
2065	7548	1
2065	37374	1
2065	4863	3
2065	2687	1
4113	1763	1
4113	10601	1
4113	19146	1
4113	7309	1
4113	17616	1
4113	9712	1
4113	6098	1
4113	5202	2
4113	4023	1
4113	12855	1
4113	3063	2
4113	19930	1
4113	3037	3
4113	17917	1
4113	15999	1
18	961	24
18	993	2
18	1009	1
18	964	1
18	980	3
18	965	1
18	987	1
18	988	1
18	1007	3
19	1013	1
19	1015	1
19	1016	1
19	1017	1
19	1018	1
19	1019	1
19	204	1
19	1021	1
2069	4482	1
2069	4227	2
2069	5187	1
2069	5188	1
2069	12551	1
2069	10249	1
2069	38281	1
2069	16011	4
2069	9677	1
2069	5262	2
2069	17679	2
2069	33490	1
2069	6098	1
2069	4244	1
2069	13718	1
2069	36761	1
2069	14170	1
2069	2714	1
2069	8157	1
2069	21406	1
2069	17631	1
2069	4002	1
2069	1763	1
2069	4003	1
2069	10602	1
2069	4011	1
2069	3627	1
2069	7980	1
2069	3629	1
2069	8181	1
2069	18869	1
2069	4214	1
2069	2423	1
4118	11904	1
4118	2436	1
4118	2407	4
4118	3464	2
4118	10698	1
4118	10218	1
4118	204	1
4118	4337	1
4118	6003	1
4118	4213	1
4118	14550	1
4118	7575	1
4118	4760	1
4118	1658	1
4118	1019	1
4118	2589	2
4118	51229	1
4118	13695	1
4120	61698	1
4120	4227	1
4120	8197	1
4120	36231	1
4120	3081	2
4120	79499	1
4120	2575	2
4120	3984	2
4120	8337	2
4120	19986	4
4120	49043	1
4120	24340	12
4120	2452	1
4120	6934	1
4120	15000	1
4120	4894	1
4120	7327	2
4120	49058	2
4120	3364	1
4120	3111	1
4120	2480	3
4120	17462	1
4120	15038	15
4120	965	1
4120	81351	1
4120	45767	1
4120	7242	1
4120	19146	1
4120	40779	1
4120	6733	1
4120	19793	1
4120	5202	2
4120	7250	1
4120	17621	3
4120	987	51
4120	988	12
4120	2396	14
4120	3039	2
4120	2527	1
4120	41184	1
4120	13921	1
4120	13922	1
4120	9698	1
4120	3044	8
